Table Range A2:U2594 ,,,,,,,,,,,,,,,,,,,,
CNTY_NAME,JURS_NAME,PLANNING PERIOD,YEAR,APR_STATUS,RHNA VLI,TOTAL VLI PERMITS,VLI DEED RESTRICTED UNITS,VLI NOT DEED RESTRICTED UNITS,RHNA LI,TOTAL LI PERMITS,LI DEED RESTRICTED UNITS,LI NOT DEED RESTRICTED UNITS,MOD RHNA,MOD UNITS,ABOVE MOD RHNA,ABOVE MOD UNITS,RHNA TOTAL,TOTAL UNITS YEAR SUBMITTED,APR YEAR (In planning period),1ST APR
SACRAMENTO,SACRAMENTO COUNTY,10/31/2013 - 10/31/2021,2013,Final,3149,0,0,0,2208,0,0,0,2574,137,5913,268,13844,405,2014,2014
SAN DIEGO,SAN DIEGO,04/30/2013 - 04/30/2021,2013,Final,21977,609,609,0,16703,915,915,0,15462,0,33954,7665,88096,9189,2013,2013
SAN DIEGO,SAN DIEGO COUNTY,04/30/2013 - 04/30/2021,2013,Final,2085,23,23,0,1585,145,145,0,5864,200,12878,1225,22412,1593,2013,2013
SAN DIEGO,SAN MARCOS,04/30/2013 - 04/30/2021,2013,Final,1043,136,136,0,793,50,50,0,734,63,1613,1684,4183,1933,2013,2013
SAN DIEGO,SANTEE,04/30/2013 - 04/30/2021,2013,Final,914,10,10,0,694,41,37,4,642,80,1410,368,3660,499,2013,2013
SAN DIEGO,SOLANA BEACH,04/30/2013 - 04/30/2021,2013,Final,85,0,0,0,65,1,0,1,59,0,131,11,340,12,2013,2013
SUTTER,SUTTER COUNTY,10/31/2013 - 10/31/2021,2013,Final,85,0,0,0,60,0,0,0,62,4,128,8,335,12,2014,2014
SAN DIEGO,VISTA,04/30/2013 - 04/30/2021,2013,Final,343,48,48,0,260,36,36,0,241,1,530,252,1374,337,2013,2013
YOLO,WEST SACRAMENTO,10/31/2013 - 10/31/2021,2013,Final,1316,69,69,0,923,0,0,0,1111,437,2627,76,5977,582,2014,2014
YOLO,WINTERS,10/31/2013 - 10/31/2021,2013,Final,76,0,0,0,54,0,0,0,59,1,130,0,319,1,2014,2014
YOLO,WOODLAND,10/31/2013 - 10/31/2021,2013,Final,390,46,46,0,274,16,16,0,349,1,864,97,1877,160,2014,2014
SUTTER,YUBA CITY,10/31/2013 - 10/31/2021,2013,Final,624,0,0,0,437,0,0,0,498,0,1120,50,2679,50,2014,2014
YUBA,YUBA COUNTY,10/31/2013 - 10/31/2021,2013,Final,1036,0,0,0,727,0,0,0,870,1,2043,85,4676,86,2014,2014
LOS ANGELES,AGOURA HILLS,10/15/2013 - 10/15/2021,2014,Final,31,0,0,0,19,0,0,0,20,0,45,17,115,17,2014,2014
ALAMEDA,ALAMEDA COUNTY,01/31/2015 - 01/31/2023,2014,Final,430,0,0,0,227,3,0,3,295,14,817,12,1769,29,2015,2015
LOS ANGELES,ALHAMBRA,10/15/2013 - 10/15/2021,2014,Final,380,0,0,0,224,0,0,0,246,3,642,29,1492,32,2014,2014
ORANGE,ALISO VIEJO,10/15/2013 - 10/15/2021,2014,Final,9,0,0,0,7,0,0,0,7,1,16,0,39,1,2014,2014
ALPINE,ALPINE COUNTY,06/30/2014 - 06/30/2019,2014,Final,7,0,0,0,6,0,0,0,6,1,11,1,30,2,2014,2014
ORANGE,ANAHEIM,10/15/2013 - 10/15/2021,2014,Final,1256,0,0,0,907,9,9,0,1038,21,2501,1271,5702,1301,2014,2014
CONTRA COSTA,ANTIOCH,01/31/2015 - 01/31/2023,2014,Final,349,0,0,0,205,0,0,0,214,57,680,174,1448,231,2015,2015
HUMBOLDT,ARCATA,06/30/2014 - 06/30/2019,2014,Final,85,26,26,0,56,5,5,0,62,8,160,7,363,46,2014,2014
LOS ANGELES,ARTESIA,10/15/2013 - 10/15/2021,2014,Final,31,0,0,0,18,0,0,0,20,0,51,17,120,17,2014,2014
SAN LUIS OBISPO,ATASCADERO,06/30/2014 - 06/30/2019,2014,Final,98,2,2,0,62,1,1,0,69,76,164,106,393,185,2014,2014
SAN MATEO,ATHERTON,01/31/2015 - 01/31/2023,2014,Final,35,1,0,1,26,3,0,3,29,0,3,1,93,5,2015,2015
PLACER,AUBURN,10/31/2013 - 10/31/2021,2014,Final,74,0,0,0,52,0,0,0,57,0,125,13,308,13,2014,2014
LOS ANGELES,AVALON,10/15/2013 - 10/15/2021,2014,Final,20,0,0,0,12,0,0,0,14,0,34,2,80,2,2014,2014
LOS ANGELES,AZUSA,10/15/2013 - 10/15/2021,2014,Final,198,0,0,0,118,0,0,0,127,298,336,0,779,298,2014,2014
LOS ANGELES,BALDWIN PARK,10/15/2013 - 10/15/2021,2014,Final,142,47,47,0,83,16,16,0,90,0,242,19,557,82,2014,2014
RIVERSIDE,BANNING,10/15/2013 - 10/15/2021,2014,Final,872,0,0,0,593,0,0,0,685,0,1642,0,3792,0,2014,2014
LOS ANGELES,BELL,10/15/2013 - 10/15/2021,2014,Final,11,0,0,0,7,0,0,0,8,0,21,0,47,0,2014,2014
LOS ANGELES,BELL GARDENS,10/15/2013 - 10/15/2021,2014,Final,11,0,0,0,7,0,0,0,8,4,20,2,46,6,2014,2014
LOS ANGELES,BELLFLOWER,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,0,0,0,67,2,67,2014,2014
SAN MATEO,BELMONT,01/31/2015 - 01/31/2023,2014,Final,116,0,0,0,63,0,0,0,67,0,222,18,468,18,2015,2015
SOLANO,BENICIA,01/31/2015 - 01/31/2023,2014,Final,94,0,0,0,54,0,0,0,56,0,123,4,327,4,2015,2015
LOS ANGELES,BEVERLY HILLS,10/15/2013 - 10/15/2021,2014,Final,1,2,0,2,1,3,3,0,1,0,0,38,3,43,2014,2014
BUTTE,BIGGS,06/15/2014 - 06/15/2022,2014,Final,48,0,0,0,30,0,0,0,24,0,82,0,184,0,2014,2014
INYO,BISHOP,06/30/2014 - 06/30/2019,2014,Final,15,0,0,0,10,0,0,0,12,0,28,0,65,0,2014,2014
IMPERIAL,BRAWLEY,10/15/2013 - 10/15/2021,2014,Final,760,8,8,0,470,5,5,0,466,0,1338,6,3034,19,2014,2014
ORANGE,BREA,10/15/2013 - 10/15/2021,2014,Final,426,0,0,0,305,0,0,0,335,0,785,321,1851,321,2014,2014
CONTRA COSTA,BRENTWOOD,01/31/2015 - 01/31/2023,2014,Final,234,1,1,0,124,2,2,0,123,5,279,415,760,423,2015,2015
SAN MATEO,BRISBANE,01/31/2015 - 01/31/2023,2014,Final,25,0,0,0,13,0,0,0,15,1,30,38,83,39,2015,2015
SANTA BARBARA,BUELLTON,02/15/2015 - 02/15/2023,2014,Final,66,0,0,0,44,0,0,0,41,0,124,0,275,0,2015,2015
ORANGE,BUENA PARK,10/15/2013 - 10/15/2021,2014,Final,76,21,21,0,53,49,49,0,62,0,148,0,339,70,2014,2014
LOS ANGELES,BURBANK,10/15/2013 - 10/15/2021,2014,Final,694,0,0,0,413,0,0,0,443,0,1134,19,2684,19,2014,2014
SAN MATEO,BURLINGAME,01/31/2015 - 01/31/2023,2014,Final,276,0,0,0,144,0,0,0,155,3,288,0,863,3,2015,2015
LOS ANGELES,CALABASAS,10/15/2013 - 10/15/2021,2014,Final,88,0,0,0,54,0,0,0,57,0,131,15,330,15,2014,2014
CALAVERAS,CALAVERAS COUNTY,06/30/2014 - 06/30/2019,2014,Final,241,6,0,6,175,13,0,13,192,17,471,38,1079,74,2014,2014
IMPERIAL,CALEXICO,10/15/2013 - 10/15/2021,2014,Final,817,66,23,43,489,10,0,10,490,42,1428,0,3224,118,2014,2014
RIVERSIDE,CALIMESA,10/15/2013 - 10/15/2021,2014,Final,543,0,0,0,383,0,0,0,433,0,982,37,2341,37,2014,2014
VENTURA,CAMARILLO,10/15/2013 - 10/15/2021,2014,Final,539,20,20,0,366,21,21,0,411,155,908,102,2224,298,2014,2014
RIVERSIDE,CANYON LAKE,10/15/2013 - 10/15/2021,2014,Final,21,0,0,0,14,0,0,0,16,1,32,4,83,5,2014,2014
SAN DIEGO,CARLSBAD,04/30/2013 - 04/30/2021,2014,Final,912,0,0,0,693,7,7,0,1062,13,2332,235,4999,255,2014,2013
SANTA BARBARA,CARPINTERIA,02/15/2015 - 02/15/2023,2014,Final,39,33,33,0,26,9,9,0,34,0,64,4,163,46,2015,2015
RIVERSIDE,CATHEDRAL,10/15/2013 - 10/15/2021,2014,Final,141,0,0,0,95,0,0,0,110,32,254,0,600,32,2014,2014
LOS ANGELES,CERRITOS,10/15/2013 - 10/15/2021,2014,Final,23,0,0,0,14,0,0,0,14,0,35,223,86,223,2014,2014
SAN BERNARDINO,CHINO,10/15/2013 - 10/15/2021,2014,Final,707,0,0,0,478,0,0,0,533,0,1176,342,2894,342,2014,2014
SAN BERNARDINO,CHINO HILLS,10/15/2013 - 10/15/2021,2014,Final,217,0,0,0,148,0,0,0,164,286,333,41,862,327,2014,2014
SAN DIEGO,CHULA VISTA,04/30/2013 - 04/30/2021,2014,Final,3209,24,24,0,2439,8,8,0,2257,11,4956,956,12861,999,2014,2013
SACRAMENTO,CITRUS HEIGHTS,10/31/2013 - 10/31/2021,2014,Final,146,0,0,0,102,2,2,0,130,0,318,5,696,7,2014,2014
SONOMA,CLOVERDALE,01/31/2015 - 01/31/2023,2014,Final,39,0,0,0,29,0,0,0,31,0,112,0,211,0,2015,2015
RIVERSIDE,COACHELLA,10/15/2013 - 10/15/2021,2014,Final,1555,52,52,0,1059,32,32,0,1212,0,2945,64,6771,148,2014,2014
SAN MATEO,COLMA,01/31/2015 - 01/31/2023,2014,Final,20,0,0,0,8,0,0,0,9,0,22,0,59,0,2015,2015
SAN BERNARDINO,COLTON,10/15/2013 - 10/15/2021,2014,Final,443,0,0,0,302,0,0,0,347,5,831,23,1923,28,2014,2014
COLUSA,COLUSA COUNTY,06/30/2014 - 06/30/2019,2014,Final,107,2,0,2,91,1,0,1,91,32,210,25,499,60,2014,2014
CONTRA COSTA,CONCORD,01/31/2015 - 01/31/2023,2014,Final,798,0,0,0,444,0,0,0,559,0,1677,15,3478,15,2015,2015
RIVERSIDE,CORONA,10/15/2013 - 10/15/2021,2014,Final,192,53,53,0,128,18,18,0,142,3,308,622,770,696,2014,2014
SAN DIEGO,CORONADO,04/30/2013 - 04/30/2021,2014,Final,13,0,0,0,9,0,0,0,9,0,19,37,50,37,2014,2013
ORANGE,COSTA MESA,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,0,50,0,50,2,100,2014,2014
LOS ANGELES,CUDAHY,10/15/2013 - 10/15/2021,2014,Final,80,0,0,0,46,0,0,0,51,0,141,0,318,0,2014,2014
ORANGE,CYPRESS,10/15/2013 - 10/15/2021,2014,Final,71,0,0,0,50,0,0,0,56,0,131,39,308,39,2014,2014
SAN MATEO,DALY CITY,01/31/2015 - 01/31/2023,2014,Final,400,0,0,0,188,0,0,0,221,10,541,10,1350,20,2015,2015
ORANGE,DANA POINT,10/15/2013 - 10/15/2021,2014,Final,76,0,0,0,53,0,0,0,61,3,137,12,327,15,2014,2014
YOLO,DAVIS,10/31/2013 - 10/31/2021,2014,Final,248,0,0,0,174,2,0,2,198,5,446,6,1066,13,2014,2014
SAN DIEGO,DEL MAR,04/30/2013 - 04/30/2021,2014,Final,7,0,0,0,5,0,0,0,15,0,34,3,61,3,2014,2013
DEL NORTE,DEL NORTE COUNTY,06/30/2014 - 06/30/2019,2014,Final,60,3,0,3,37,1,1,0,30,3,106,4,233,11,2014,2014
LOS ANGELES,DIAMOND BAR,10/15/2013 - 10/15/2021,2014,Final,308,0,0,0,182,0,0,0,190,0,466,52,1146,52,2014,2014
SISKIYOU,DORRIS,06/30/2014 - 06/30/2019,2014,Final,3,0,0,0,2,0,0,0,2,0,5,0,12,0,2014,2014
LOS ANGELES,DOWNEY,10/15/2013 - 10/15/2021,2014,Final,210,0,0,0,123,0,0,0,135,20,346,12,814,32,2014,2014
LOS ANGELES,DUARTE,10/15/2013 - 10/15/2021,2014,Final,87,0,0,0,53,0,0,0,55,0,142,0,337,0,2014,2014
SISKIYOU,DUNSMUIR,06/30/2014 - 06/30/2019,2014,Final,6,0,0,0,4,0,0,0,4,0,9,0,23,0,2014,2014
RIVERSIDE,EASTVALE,10/15/2013 - 10/15/2021,2014,Final,374,0,0,0,250,0,0,0,274,0,565,429,1463,429,2014,2014
SAN DIEGO,EL CAJON,04/30/2013 - 04/30/2021,2014,Final,1448,0,0,0,1101,0,0,0,1019,8,2237,24,5805,32,2014,2013
IMPERIAL,EL CENTRO,10/15/2013 - 10/15/2021,2014,Final,487,0,0,0,300,3,3,0,297,0,840,43,1924,46,2014,2014
CONTRA COSTA,EL CERRITO,01/31/2015 - 01/31/2023,2014,Final,100,56,56,0,63,0,0,0,69,0,166,6,398,62,2015,2015
EL DORADO,EL DORADO COUNTY,10/31/2013 - 10/31/2021,2014,Final,1086,1,1,0,762,55,55,0,823,13,1757,343,4428,412,2014,2014
LOS ANGELES,EL MONTE,10/15/2013 - 10/15/2021,2014,Final,529,41,41,0,315,0,0,0,352,2,946,20,2142,63,2014,2014
SACRAMENTO,ELK GROVE,10/31/2013 - 10/31/2021,2014,Final,2035,49,49,0,1427,14,14,0,1377,74,2563,505,7402,642,2014,2014
SAN DIEGO,ENCINITAS,04/30/2013 - 04/30/2021,2014,Final,587,1,1,0,446,8,8,0,413,3,907,150,2353,162,2014,2013
SAN DIEGO,ESCONDIDO,04/30/2013 - 04/30/2021,2014,Final,1042,0,0,0,791,0,0,0,733,0,1609,56,4175,56,2014,2013
HUMBOLDT,EUREKA,06/30/2014 - 06/30/2019,2014,Final,145,0,0,0,96,0,0,0,104,0,264,7,609,7,2014,2014
SOLANO,FAIRFIELD,01/31/2015 - 01/31/2023,2014,Final,779,0,0,0,404,0,0,0,456,6,1461,319,3100,325,2015,2015
HUMBOLDT,FERNDALE,06/30/2014 - 06/30/2019,2014,Final,6,0,0,0,3,0,0,0,4,0,8,0,21,0,2014,2014
SACRAMENTO,FOLSOM,10/31/2013 - 10/31/2021,2014,Final,1218,0,0,0,854,0,0,0,862,68,1699,205,4633,273,2014,2014
SAN BERNARDINO,FONTANA,10/15/2013 - 10/15/2021,2014,Final,1442,63,63,0,974,0,0,0,1090,0,2471,258,5977,321,2014,2014
ORANGE,FOUNTAIN VALLEY,10/15/2013 - 10/15/2021,2014,Final,83,0,0,0,59,0,0,0,65,0,151,6,358,6,2014,2014
ALAMEDA,FREMONT,01/31/2015 - 01/31/2023,2014,Final,1714,0,0,0,926,0,0,0,978,0,1837,137,5455,137,2015,2015
ORANGE,FULLERTON,10/15/2013 - 10/15/2021,2014,Final,411,8,8,0,299,0,0,0,337,0,794,72,1841,80,2014,2014
SACRAMENTO,GALT,10/31/2013 - 10/31/2021,2014,Final,131,0,0,0,91,0,0,0,126,0,331,29,679,29,2014,2014
ORANGE,GARDEN GROVE,10/15/2013 - 10/15/2021,2014,Final,164,0,0,0,120,14,14,0,135,50,328,37,747,101,2014,2014
LOS ANGELES,GARDENA,10/15/2013 - 10/15/2021,2014,Final,98,0,0,0,60,0,0,0,66,6,173,21,397,27,2014,2014
LOS ANGELES,GLENDALE,10/15/2013 - 10/15/2021,2014,Final,508,71,71,0,310,48,48,0,337,0,862,532,2017,651,2014,2014
LOS ANGELES,GLENDORA,10/15/2013 - 10/15/2021,2014,Final,181,0,0,0,106,0,0,0,115,0,284,48,686,48,2014,2014
GLENN,GLENN COUNTY,06/30/2014 - 06/30/2019,2014,Final,25,1,1,0,19,3,2,1,25,1,48,4,117,9,2014,2014
SANTA BARBARA,GOLETA,02/15/2015 - 02/15/2023,2014,Final,235,0,0,0,157,0,0,0,174,0,413,0,979,0,2015,2015
NEVADA,GRASS VALLEY,06/30/2014 - 06/30/2019,2014,Final,122,10,10,0,88,74,72,2,100,0,220,0,530,84,2014,2014
BUTTE,GRIDLEY,06/15/2014 - 06/15/2022,2014,Final,231,0,0,0,118,0,0,0,99,0,321,8,769,8,2014,2014
SAN LUIS OBISPO,GROVER BEACH,06/30/2014 - 06/30/2019,2014,Final,41,0,0,0,26,1,1,0,29,0,69,12,165,13,2014,2014
SAN MATEO,HALF MOON BAY,01/31/2015 - 01/31/2023,2014,Final,52,52,52,0,31,3,3,0,36,0,121,0,240,55,2015,2015
LOS ANGELES,HAWTHORNE,10/15/2013 - 10/15/2021,2014,Final,170,0,0,0,101,0,0,0,112,34,300,320,683,354,2014,2014
SONOMA,HEALDSBURG,01/31/2015 - 01/31/2023,2014,Final,31,0,0,0,24,0,0,0,26,0,76,27,157,27,2015,2015
RIVERSIDE,HEMET,10/15/2013 - 10/15/2021,2014,Final,134,0,0,0,96,3,0,3,112,114,262,32,604,149,2014,2014
SAN BERNARDINO,HESPERIA,10/15/2013 - 10/15/2021,2014,Final,398,0,0,0,274,0,0,0,314,82,729,0,1715,82,2014,2014
SAN BERNARDINO,HIGHLAND,10/15/2013 - 10/15/2021,2014,Final,349,0,0,0,246,0,0,0,280,1,625,3,1500,4,2014,2014
HUMBOLDT,HUMBOLDT COUNTY,06/30/2014 - 06/30/2019,2014,Final,212,16,0,16,135,13,0,13,146,26,366,83,859,138,2014,2014
IMPERIAL,IMPERIAL,10/15/2013 - 10/15/2021,2014,Final,349,56,56,0,205,0,0,0,202,43,553,16,1309,115,2014,2014
SAN DIEGO,IMPERIAL BEACH,04/30/2013 - 04/30/2021,2014,Final,63,0,0,0,48,6,6,0,45,0,98,40,254,46,2014,2013
RIVERSIDE,INDIAN WELLS,10/15/2013 - 10/15/2021,2014,Final,40,0,0,0,27,0,0,0,31,0,62,40,160,40,2014,2014
RIVERSIDE,INDIO,10/15/2013 - 10/15/2021,2014,Final,714,84,84,0,487,0,0,0,553,1,1271,367,3025,452,2014,2014
LOS ANGELES,INGLEWOOD,10/15/2013 - 10/15/2021,2014,Final,250,0,0,0,150,0,0,0,167,0,446,3,1013,3,2014,2014
INYO,INYO COUNTY,06/30/2014 - 06/30/2019,2014,Final,35,0,0,0,25,0,0,0,28,0,72,3,160,3,2014,2014
ORANGE,IRVINE,10/15/2013 - 10/15/2021,2014,Final,2817,137,137,0,2034,0,0,0,2239,1702,5059,1654,12149,3493,2014,2014
AMADOR,JACKSON,06/30/2014 - 06/30/2019,2014,Final,4,0,0,0,3,0,0,0,4,1,8,0,19,1,2014,2014
LOS ANGELES,LA CANADA FLINTRIDGE,10/15/2013 - 10/15/2021,2014,Final,30,0,0,0,18,0,0,0,20,0,44,5,112,5,2014,2014
ORANGE,LA HABRA,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,1,7,1,0,4,7,2014,2014
SAN DIEGO,LA MESA,04/30/2013 - 04/30/2021,2014,Final,430,0,0,0,326,1,0,1,302,0,664,310,1722,311,2014,2013
ORANGE,LA PALMA,10/15/2013 - 10/15/2021,2014,Final,2,0,0,0,2,0,0,0,2,0,3,0,9,0,2014,2014
LOS ANGELES,LA VERNE,10/15/2013 - 10/15/2021,2014,Final,147,35,35,0,88,2,2,0,94,0,233,78,562,115,2014,2014
CONTRA COSTA,LAFAYETTE,01/31/2015 - 01/31/2023,2014,Final,138,0,0,0,78,0,0,0,85,21,99,247,400,268,2015,2015
ORANGE,LAGUNA BEACH,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,0,0,0,15,2,15,2014,2014
ORANGE,LAGUNA HILLS,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2014,2014
ORANGE,LAGUNA NIGUEL,10/15/2013 - 10/15/2021,2014,Final,43,14,14,0,30,14,14,0,34,0,75,427,182,455,2014,2014
ORANGE,LAGUNA WOODS,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2014,2014
RIVERSIDE,LAKE ELSINORE,10/15/2013 - 10/15/2021,2014,Final,1196,0,0,0,801,0,0,0,897,0,2035,0,4929,0,2014,2014
ORANGE,LAKE FOREST,10/15/2013 - 10/15/2021,2014,Final,647,0,0,0,450,0,0,0,497,145,1133,688,2727,833,2014,2014
LOS ANGELES,LAKEWOOD,10/15/2013 - 10/15/2021,2014,Final,107,0,0,0,63,0,0,0,67,0,166,0,403,0,2014,2014
MARIN,LARKSPUR,01/31/2015 - 01/31/2023,2014,Final,40,3,3,0,20,9,9,0,21,8,51,76,132,96,2015,2015
LOS ANGELES,LAWNDALE,10/15/2013 - 10/15/2021,2014,Final,96,0,0,0,57,0,0,0,62,0,166,5,381,5,2014,2014
SAN DIEGO,LEMON GROVE,04/30/2013 - 04/30/2021,2014,Final,77,0,0,0,59,0,0,0,54,0,119,23,309,23,2014,2013
PLACER,LINCOLN,10/31/2013 - 10/31/2021,2014,Final,953,0,0,0,668,0,0,0,705,0,1464,286,3790,286,2014,2014
SUTTER,LIVE OAK,10/31/2013 - 10/31/2021,2014,Final,104,0,0,0,72,0,0,0,83,1,190,0,449,1,2014,2014
ALAMEDA,LIVERMORE,01/31/2015 - 01/31/2023,2014,Final,839,0,0,0,474,1,1,0,496,15,920,80,2729,96,2015,2015
LOS ANGELES,LOMITA,10/15/2013 - 10/15/2021,2014,Final,12,0,0,0,7,0,0,0,8,16,20,0,47,16,2014,2014
LOS ANGELES,LONG BEACH,10/15/2013 - 10/15/2021,2014,Final,1773,26,26,0,1066,14,14,0,1170,0,3039,260,7048,300,2014,2014
LOS ANGELES,LOS ANGELES,10/15/2013 - 10/15/2021,2014,Final,20427,856,856,0,12435,867,867,0,13728,47,35412,13047,82002,14817,2014,2014
LOS ANGELES,LOS ANGELES COUNTY,10/15/2013 - 10/15/2021,2014,Final,7359,159,159,0,4251,0,0,0,4898,0,10749,513,27257,672,2014,2014
SANTA CLARA,LOS GATOS,01/31/2015 - 01/31/2023,2014,Final,201,0,0,0,112,0,0,0,132,0,174,9,619,9,2015,2015
MADERA,MADERA,06/30/2014 - 06/30/2019,2014,Final,1352,15,15,0,1056,113,113,0,1091,21,2600,1,6099,150,2016,2016
LOS ANGELES,MALIBU,10/15/2013 - 10/15/2021,2014,Final,1,0,0,0,1,0,0,0,0,0,0,13,2,13,2014,2014
MONO,MAMMOTH LAKES,06/30/2014 - 06/30/2019,2014,Final,17,0,0,0,12,0,0,0,14,0,31,12,74,12,2014,2014
LOS ANGELES,MANHATTAN BEACH,10/15/2013 - 10/15/2021,2014,Final,10,0,0,0,6,0,0,0,7,0,15,73,38,73,2014,2014
MARIN,MARIN COUNTY,01/31/2015 - 01/31/2023,2014,Final,55,1,0,1,32,3,0,3,37,10,61,29,185,43,2015,2015
MARIPOSA,MARIPOSA COUNTY,06/30/2014 - 06/30/2019,2014,Final,265,0,0,0,130,0,0,0,180,35,420,14,995,49,2014,2014
RIVERSIDE,MENIFEE,10/15/2013 - 10/15/2021,2014,Final,1488,1,0,1,1007,1,0,1,1140,158,2610,181,6245,341,2014,2014
