Table Range A2: AV541 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COUNTY,JURS NAME,Planning period progress,Planning Period Length (Years),Planning Period Half-Way Point,1st APR,Last APR,Planning period beginning,Planning period end,Planning period,RHNA VLI,VLI PERMITS,VLI (DR) UNITS,VLI (NDR) UNITS,VLI REMAINING UNITS,VLI % Complete,Prorated VLI RHNA,Excess VLI,RHNA LI,LI PERMITS,LI (DR) UNITS,LI (NDR) UNITS,LI REMAINING UNITS,Lower Permits,Lower Remain,LI % Complete,LOWER % Complete,RHNA MOD,MOD PERMITS,MOD REMAINING UNITS,MOD % Complete,RHNA ABOVE MOD,ABOVE MOD PERMITS,ABOVE MOD REMAINING UNITS,ABOVE MOD % Complete,RHNA TOTAL,TOTAL UNITS,TOTAL RHNA REMAIN,PRORATION FACTOR,ON PACE?,STATUS,Exempt but for 2019 APR,50% but for 2019 APR,On Pace (w/Mod)?,VLI ON PACE?,LI ON PACE?,VLI AND LI PACE?,ABOVE MOD ON PACE?
SHASTA,ANDERSON,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,32,23,23,0,9,71.88%,32,0,21,20,19,1,1,20,1,95.24%,95.24%,24,93,0,387.50%,59,86,0,145.76%,136,222,0,1,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CALAVERAS,ANGELS CAMP,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,39,1,0,1,38,2.56%,39,0,25,1,0,1,24,1,24,4.00%,4.00%,28,5,23,17.86%,69,21,48,30.43%,161,28,133,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
CONTRA COSTA,ANTIOCH,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,349,90,86,4,259,25.79%,175,0,205,1,0,1,204,1,204,0.49%,0.49%,214,89,125,41.59%,680,702,0,103.24%,1448,882,566,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN BERNARDINO,APPLE VALLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,764,0,0,0,764,0.00%,382,0,541,0,0,0,541,0,541,0.00%,0.00%,622,0,622,0.00%,1407,0,1407,0.00%,3334,0,3334,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,ARCADIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,276,0,0,0,276,0.00%,138,0,167,0,0,0,167,0,167,0.00%,0.00%,177,38,139,21.47%,434,268,166,61.75%,1054,306,748,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
HUMBOLDT,ARCATA,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,85,43,43,0,42,50.59%,85,0,56,15,5,10,41,15,41,26.79%,26.79%,62,264,0,425.81%,160,66,94,41.25%,363,388,0,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN LUIS OBISPO,ARROYO GRANDE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,60,0,0,0,60,0.00%,60,0,38,37,20,17,1,37,1,97.37%,97.37%,43,0,43,0.00%,101,108,0,106.93%,242,145,97,1,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,ARTESIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,31,0,0,0,31,0.00%,16,0,18,0,0,0,18,0,18,0.00%,0.00%,20,0,20,0.00%,51,71,0,139.22%,120,71,49,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
KERN,ARVIN,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,398,0,0,0,398,0.00%,199,0,239,56,20,36,183,56,183,23.43%,23.43%,183,381,0,208.20%,349,0,349,0.00%,1169,437,732,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN LUIS OBISPO,ATASCADERO,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,98,48,48,0,50,48.98%,98,0,62,28,26,2,34,28,34,45.16%,45.16%,69,174,0,252.17%,164,308,0,187.80%,393,558,0,1,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN MATEO,ATHERTON,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,35,35,12,23,0,100.00%,18,17,26,15,0,15,11,32,0,57.69%,123.08%,29,3,26,10.34%,3,78,0,2600.00%,93,131,0,0.5,YES,Successful,YES,NO,NO,YES,NO,NO,YES
MERCED,ATWATER,50.00%,8,2020,2016,2023,3/31/16,3/31/24,31-MAR-16 - 31-MAR-24,429,0,0,0,429,0.00%,215,0,307,0,0,0,307,0,307,0.00%,0.00%,281,0,281,0.00%,748,384,364,51.34%,1765,384,1381,0.5,NO,No 2019 APR,NO,YES,NO,NO,NO,NO,YES
PLACER,AUBURN,75.00%,8,2018,2014,2021,10/31/13,10/31/21,31-OCT-13 - 31-OCT-21,74,0,0,0,74,0.00%,37,0,52,1,0,1,51,1,51,1.92%,1.92%,57,42,15,73.68%,125,98,27,78.40%,308,141,167,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,AVALON,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,20,0,0,0,20,0.00%,10,0,12,0,0,0,12,0,12,0.00%,0.00%,14,0,14,0.00%,34,4,30,11.76%,80,4,76,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
KINGS,AVENAL,50.00%,8,2020,2016,2023,1/31/16,1/31/24,31-JAN-16 - 31-JAN-24,145,0,0,0,145,0.00%,73,0,108,39,39,0,69,39,69,36.11%,36.11%,115,37,78,32.17%,271,0,271,0.00%,639,76,563,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,AZUSA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,198,0,0,0,198,0.00%,99,0,118,6,6,0,112,6,112,5.08%,5.08%,127,861,0,677.95%,336,179,157,53.27%,779,1046,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
KERN,BAKERSFIELD,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,9706,185,185,0,9521,1.91%,4853,0,5800,90,90,0,5710,90,5710,1.55%,1.55%,6453,4392,2061,68.06%,14331,5968,8363,41.64%,36290,10635,25655,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,BALDWIN PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,142,47,47,0,95,33.10%,71,0,83,17,17,0,66,17,66,20.48%,20.48%,90,2,88,2.22%,242,233,9,96.28%,557,299,258,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
RIVERSIDE,BANNING,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,872,0,0,0,872,0.00%,436,0,593,0,0,0,593,0,593,0.00%,0.00%,685,0,685,0.00%,1642,10,1632,0.61%,3792,10,3782,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN BERNARDINO,BARSTOW,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,188,0,0,0,188,0.00%,94,0,138,0,0,0,138,0,138,0.00%,0.00%,154,2,152,1.30%,363,1,362,0.28%,843,3,840,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,BEAUMONT,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1267,0,0,0,1267,0.00%,634,0,854,0,0,0,854,0,854,0.00%,0.00%,969,323,646,33.33%,2160,766,1394,35.46%,5250,1089,4161,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,BELL,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,11,65,65,0,0,590.91%,6,59,7,0,0,0,7,59,0,0.00%,842.86%,8,3,5,37.50%,21,84,0,400.00%,47,152,0,0.5,YES,Successful,YES,NO,NO,YES,NO,NO,YES
LOS ANGELES,BELL GARDENS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,11,0,0,0,11,0.00%,6,0,7,0,0,0,7,0,7,0.00%,0.00%,8,10,0,125.00%,20,17,3,85.00%,46,27,19,0.5,NO,No 2019 APR,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,BELLFLOWER,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,6,6,0,0,6,0,600.00%,600.00%,0,6,0,0.00%,0,319,0,0.00%,2,331,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
SAN MATEO,BELMONT,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,116,0,0,0,116,0.00%,58,0,63,0,0,0,63,0,63,0.00%,0.00%,67,25,42,37.31%,222,147,75,66.22%,468,172,296,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MARIN,BELVEDERE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,4,0,0,0,4,0.00%,2,0,3,0,0,0,3,0,3,0.00%,0.00%,4,3,1,75.00%,5,1,4,20.00%,16,4,12,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SOLANO,BENICIA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,94,1,1,0,93,1.06%,47,0,54,3,3,0,51,3,51,5.56%,5.56%,56,3,53,5.36%,123,15,108,12.20%,327,22,305,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ALAMEDA,BERKELEY,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,532,97,97,0,435,18.23%,266,0,442,17,17,0,425,17,425,3.85%,3.85%,584,132,452,22.60%,1401,1535,0,109.56%,2959,1781,1178,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
LOS ANGELES,BEVERLY HILLS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,9,3,6,0,900.00%,1,8,1,3,3,0,0,11,0,300.00%,1100.00%,1,2,0,200.00%,0,181,0,0.00%,3,195,0,0.5,YES,Successful,YES,NO,YES,YES,YES,YES,YES
SAN BERNARDINO,BIG BEAR LAKE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,0,0,0,1,0.00%,1,0,1,4,0,4,0,4,0,400.00%,400.00%,0,10,0,0.00%,0,77,0,0.00%,2,91,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
BUTTE,BIGGS,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,48,26,26,0,22,54.17%,24,2,30,30,30,0,0,32,0,100.00%,106.67%,24,1,23,4.17%,82,0,82,0.00%,184,57,127,0.5,NO,Successful,NO,NO,NO,NO,YES,NO,NO
INYO,BISHOP,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,15,0,0,0,15,0.00%,15,0,10,6,1,5,4,6,4,60.00%,60.00%,12,8,4,66.67%,28,4,24,14.29%,65,18,47,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
HUMBOLDT,BLUE LAKE,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,4,,,,4,,4,0,1,,,,1,0,1,,0.00%,2,,2,,4,,4,,11,,11,1,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,BLYTHE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,91,0,0,0,91,0.00%,46,0,64,0,0,0,64,0,64,0.00%,0.00%,75,13,62,17.33%,172,1,171,0.58%,402,14,388,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,BRADBURY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,1,,,,1,,1,0,1,,,,1,0,1,,0.00%,0,,0,0.00%,0,,0,,2,,2,0.5,NO,No 2019 APR,NO,YES,NO,NO,NO,NO,YES
IMPERIAL,BRAWLEY,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,760,90,88,2,670,11.84%,380,0,470,110,106,4,360,110,360,23.40%,23.40%,466,158,308,33.91%,1338,40,1298,2.99%,3034,398,2636,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
ORANGE,BREA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,426,0,0,0,426,0.00%,213,0,305,0,0,0,305,0,305,0.00%,0.00%,335,41,294,12.24%,785,2113,0,269.17%,1851,2154,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CONTRA COSTA,BRENTWOOD,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,234,3,3,0,231,1.28%,117,0,124,13,10,3,111,13,111,10.48%,10.48%,123,28,95,22.76%,279,2551,0,914.34%,760,2595,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN MATEO,BRISBANE,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,25,0,0,0,25,0.00%,13,0,13,0,0,0,13,0,13,0.00%,0.00%,15,19,0,126.67%,30,55,0,183.33%,83,74,9,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA BARBARA,BUELLTON,62.50%,8,2019,2015,2022,2/15/15,2/15/23,15-FEB-15 - 15-FEB-23,66,5,5,0,61,7.58%,33,0,44,4,4,0,40,4,40,9.09%,9.09%,41,62,0,151.22%,124,142,0,114.52%,275,213,62,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
ORANGE,BUENA PARK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,76,21,21,0,55,27.63%,38,0,53,49,49,0,4,49,4,92.45%,92.45%,62,181,0,291.94%,148,189,0,127.70%,339,440,0,0.5,NO,Successful,NO,YES,NO,NO,YES,NO,YES
LOS ANGELES,BURBANK,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,694,0,0,0,694,0.00%,347,0,413,71,0,71,342,71,342,17.19%,17.19%,443,17,426,3.84%,1134,413,721,36.42%,2684,501,2183,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
SAN MATEO,BURLINGAME,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,276,0,0,0,276,0.00%,138,0,144,0,0,0,144,0,144,0.00%,0.00%,155,32,123,20.65%,288,432,0,150.00%,863,464,399,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
BUTTE,BUTTE COUNTY,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,682,0,0,0,682,0.00%,341,0,545,17,8,9,528,17,528,3.12%,3.12%,480,161,319,33.54%,1267,375,892,29.60%,2974,553,2421,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,CALABASAS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,88,12,12,0,76,13.64%,44,0,54,0,0,0,54,0,54,0.00%,0.00%,57,8,49,14.04%,131,179,0,136.64%,330,199,131,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
CALAVERAS,CALAVERAS COUNTY,100.00%,5,2017,2014,2018,6/30/14,6/30/19,30-JUN-14 - 30-JUN-19,241,100,0,100,141,41.49%,241,0,175,91,0,91,84,91,84,52.00%,52.00%,192,218,0,113.54%,471,295,176,62.63%,1079,704,375,1,NO,Successful,NO,NO,NO,NO,NO,NO,NO
IMPERIAL,CALEXICO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,817,101,58,43,716,12.36%,409,0,489,166,53,113,323,166,323,33.95%,33.95%,490,90,400,18.37%,1428,0,1428,0.00%,3224,357,2867,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
KERN,CALIFORNIA CITY,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,254,,,,254,,127,0,131,,,,131,0,131,,0.00%,155,,155,,726,,726,,1266,,1266,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,CALIMESA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,543,0,0,0,543,0.00%,272,0,383,0,0,0,383,0,383,0.00%,0.00%,433,0,433,0.00%,982,645,337,65.68%,2341,645,1696,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,NO
IMPERIAL,CALIPATRIA,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,37,0,0,0,37,0.00%,19,0,22,0,0,0,22,0,22,0.00%,0.00%,22,0,22,0.00%,63,0,63,0.00%,144,0,144,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
NAPA,CALISTOGA,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,6,23,23,0,0,383.33%,3,20,2,8,6,2,0,28,0,400.00%,1400.00%,4,8,0,200.00%,15,39,0,260.00%,27,78,0,0.5,YES,Successful,YES,NO,YES,YES,YES,YES,YES
VENTURA,CAMARILLO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,539,127,127,0,412,23.56%,270,0,366,107,107,0,259,107,259,29.23%,29.23%,411,858,0,208.76%,908,827,81,91.08%,2224,1919,305,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA CLARA,CAMPBELL,62.50%,8,2019,2015,2022,1/31/15,1/31/23,31-JAN-15 - 31-JAN-23,253,11,11,0,242,4.35%,127,0,138,4,4,0,134,4,134,2.90%,2.90%,151,16,135,10.60%,391,407,0,104.09%,933,438,495,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
RIVERSIDE,CANYON LAKE,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,21,0,0,0,21,0.00%,11,0,14,0,0,0,14,0,14,0.00%,0.00%,16,10,6,62.50%,32,32,0,100.00%,83,42,41,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SANTA CRUZ,CAPITOLA,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,34,0,0,0,34,0.00%,17,0,23,0,0,0,23,0,23,0.00%,0.00%,26,1,25,3.85%,60,30,30,50.00%,143,31,112,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN DIEGO,CARLSBAD,87.50%,8,2017,2013,2020,4/30/13,4/30/21,30-APR-13 - 30-APR-21,912,44,42,2,868,4.82%,456,0,693,272,266,6,421,272,421,39.25%,39.25%,1062,316,746,29.76%,2332,3028,0,129.85%,4999,3660,1339,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
MONTEREY,CARMEL,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,7,0,0,0,7,0.00%,4,0,5,0,0,0,5,0,5,0.00%,0.00%,6,0,6,0.00%,13,7,6,53.85%,31,7,24,0.5,NO,No 2019 APR,NO,YES,NO,NO,NO,NO,YES
SANTA BARBARA,CARPINTERIA,62.50%,8,2019,2015,2022,2/15/15,2/15/23,15-FEB-15 - 15-FEB-23,39,66,66,0,0,169.23%,20,46,26,21,21,0,5,67,0,80.77%,257.69%,34,2,32,5.88%,64,116,0,181.25%,163,205,0,0.5,YES,Successful,YES,NO,NO,YES,YES,YES,YES
LOS ANGELES,CARSON,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,447,39,39,0,408,8.72%,224,0,263,57,56,1,206,57,206,21.67%,21.67%,280,130,150,46.43%,708,89,619,12.57%,1698,315,1383,0.5,NO,No 2019 APR,NO,NO,NO,NO,NO,NO,NO
RIVERSIDE,CATHEDRAL,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,141,0,0,0,141,0.00%,71,0,95,0,0,0,95,0,95,0.00%,0.00%,110,122,0,110.91%,254,236,18,92.91%,600,358,242,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
STANISLAUS,CERES,50.00%,8,2020,2016,2023,12/31/15,12/31/23,31-DEC-15 - 31-DEC-23,622,0,0,0,622,0.00%,311,0,399,0,0,0,399,0,399,0.00%,0.00%,446,11,435,2.47%,1104,58,1046,5.25%,2571,69,2502,0.5,NO,Successful,NO,NO,NO,NO,NO,NO,NO
LOS ANGELES,CERRITOS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,23,2,0,2,21,8.70%,12,0,14,0,0,0,14,0,14,0.00%,0.00%,14,1,13,7.14%,35,355,0,1014.29%,86,358,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
BUTTE,CHICO,75.00%,8,2018,2014,2021,6/15/14,6/15/22,15-JUN-14 - 15-JUN-22,974,15,15,0,959,1.54%,487,0,643,7,7,0,636,7,636,1.09%,1.09%,708,324,384,45.76%,1638,2162,0,131.99%,3963,2508,1455,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN BERNARDINO,CHINO,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,707,135,135,0,572,19.09%,354,0,478,203,203,0,275,203,275,42.47%,42.47%,533,0,533,0.00%,1176,2755,0,234.27%,2894,3093,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
SAN BERNARDINO,CHINO HILLS,75.00%,8,2018,2014,2021,10/15/13,10/15/21,15-OCT-13 - 15-OCT-21,217,0,0,0,217,0.00%,109,0,148,0,0,0,148,0,148,0.00%,0.00%,164,1322,0,806.10%,333,872,0,261.86%,862,2194,0,0.5,NO,Successful,NO,YES,NO,NO,NO,NO,YES
